Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
7 Days to Die,PS4,2016,Action,Telltale Games,0.04,0.08,0,0.02,0.14,45,16,5.9,140,The Fun Pimps Entertainment LLC,M
7 Days to Die,XOne,2016,Action,Telltale Games,0.03,0.02,0,0,0.05,35,17,5.2,74,The Fun Pimps Entertainment LLC,M
Aegis of Earth: Protonovus Assault,PS4,2016,Action,PQube,0.02,0,0,0,0.03,57,11,7.8,9,Acquire,T
Agatha Christie's The ABC Murders,PS4,2016,Adventure,Microids,0.01,0.01,0,0,0.03,67,17,6.2,12,Microids,T
Alien: Isolation,PS4,2014,Shooter,Sega,0.34,0.57,0.04,0.17,1.13,79,50,8.1,795,Creative Assembly,M
Alien: Isolation,XOne,2014,Shooter,Sega,0.22,0.24,0,0.04,0.51,78,24,7.8,314,Creative Assembly,M
Angry Birds Star Wars,PS4,2013,Strategy,Activision,0.1,0.08,0,0.04,0.21,47,5,2,87,Exient Entertainment,E
Angry Birds Star Wars,XOne,2013,Strategy,Activision,0.11,0.04,0,0.02,0.16,53,4,6.9,63,Exient Entertainment,E
Anima - Gate of Memories,PS4,2016,Action,Avanquest,0,0.02,0,0,0.02,52,13,7.9,34,"Edge Entertainment, Anima Project",T
Arslan: The Warriors of Legend,PS4,2015,Action,Tecmo Koei,0.03,0.01,0.04,0.01,0.09,69,43,6.6,23,Omega Force,T
Assassin's Creed Chronicles: China,PS4,2015,Action,Ubisoft,0,0.03,0,0.01,0.04,69,44,6.4,83,"Climax Group, Climax Studios",T
Assassin's Creed IV: Black Flag,PS4,2013,Action,Ubisoft,1.07,1.31,0.06,0.42,2.85,83,29,7.8,1530,Ubisoft,M
Assassin's Creed Syndicate,PS4,2015,Action,Ubisoft,0.81,1.99,0.07,0.52,3.39,76,86,6.8,1319,Ubisoft Quebec,M
Assassin's Creed Syndicate,XOne,2015,Action,Ubisoft,0.62,0.56,0,0.11,1.3,78,22,6.1,402,Ubisoft Quebec,M
Assassin's Creed The Ezio Collection,PS4,2016,Action,Ubisoft,0.04,0.13,0,0.03,0.2,72,32,7.4,49,Ubisoft Montreal,M
Assassin's Creed The Ezio Collection,XOne,2016,Action,Ubisoft,0.03,0.04,0,0.01,0.08,74,13,7.6,24,Ubisoft Montreal,M
Assassin's Creed: Unity,PS4,2014,Action,Ubisoft,1.19,2.07,0.08,0.62,3.96,70,40,4.9,2050,"Ubisoft, Ubisoft Montreal",M
Assassin's Creed: Unity,XOne,2014,Action,Ubisoft,2.27,0.9,0,0.33,3.5,72,59,4.1,1005,"Ubisoft, Ubisoft Montreal",M
Assetto Corsa,PS4,2016,Racing,505 Games,0,0.05,0,0.01,0.06,73,35,6.2,70,Kunos Simulazioni,E
Assetto Corsa,XOne,2016,Racing,505 Games,0,0.01,0,0,0.02,63,9,6.7,27,Kunos Simulazioni,E
Batman: Arkham Knight,PS4,2015,Action,Warner Bros. Interactive Entertainment,1.53,1.69,0.1,0.64,3.95,87,89,7.6,2679,Rocksteady Studios,M
Batman: Arkham Knight,XOne,2015,Action,Warner Bros. Interactive Entertainment,0.88,0.47,0,0.14,1.49,85,16,6.6,694,Rocksteady Studios,M
Batman: Arkham VR,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.25,0,0,0.06,0.3,75,59,7.3,89,Rocksteady Studios,M
Batman: Return to Arkham,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.07,0.16,0,0.04,0.26,73,28,8.5,79,"Rocksteady Studios, Virtuos",T
Batman: Return to Arkham,XOne,2016,Action,Warner Bros. Interactive Entertainment,0.05,0.05,0,0.01,0.11,77,6,8.2,43,"Rocksteady Studios, Virtuos",T
Battleborn,PS4,2016,Shooter,Take-Two Interactive,0.12,0.08,0.02,0.04,0.26,68,55,6.8,402,Gearbox Software,T
Battleborn,XOne,2016,Shooter,Take-Two Interactive,0.1,0.04,0,0.01,0.15,71,20,7.2,171,Gearbox Software,T
Battlefield 1,PS4,2016,Shooter,Electronic Arts,1.1,2.15,0.21,0.61,4.08,88,31,8.4,809,EA DICE,M
Battlefield 1,XOne,2016,Shooter,Electronic Arts,1.28,0.77,0,0.2,2.25,87,37,8.2,440,EA DICE,M
Battlefield 4,PS4,2013,Shooter,Electronic Arts,1.35,1.55,0.17,0.51,3.59,85,18,6.9,1580,EA DICE,M
Battlefield 4,XOne,2013,Shooter,Electronic Arts,1.25,0.58,0,0.19,2.02,81,5,6.6,480,EA DICE,M
Battlefield: Hardline,PS4,2015,Shooter,Electronic Arts,0.71,0.94,0.14,0.32,2.1,73,46,5,845,Visceral Games,M
Battlefield: Hardline,XOne,2015,Shooter,Electronic Arts,0.72,0.37,0.01,0.11,1.21,71,27,5.1,299,Visceral Games,M
Battlezone,PS4,2016,Action,Rebellion Developments,0.02,0.02,0,0.01,0.04,66,39,7,31,Rebellion,T
BioShock The Collection,PS4,2016,Shooter,Take-Two Interactive,0.1,0.19,0.02,0.06,0.37,84,39,8.5,210,2K Games,M
BioShock The Collection,XOne,2016,Shooter,Take-Two Interactive,0.08,0.06,0,0.01,0.16,84,16,8.3,79,2K Games,M
Bladestorm: Nightmare,PS4,2015,Action,Tecmo Koei,0.08,0.04,0.03,0.02,0.17,58,33,6.5,21,Omega Force,T
Bladestorm: Nightmare,XOne,2015,Action,Tecmo Koei,0.03,0.02,0,0,0.05,48,6,7.1,8,Omega Force,T
BlazBlue Central Fiction,PS4,2016,Fighting,PQube,0.04,0,0.03,0.01,0.08,85,21,7.6,39,Arc System Works,T
BlazBlue: Chrono Phantasma Extend,PS4,2015,Action,PQube,0.07,0.03,0.02,0.02,0.14,80,10,7.7,31,Arc System Works,T
Bloodborne,PS4,2015,Action,Sony Computer Entertainment,1.03,0.81,0.26,0.38,2.48,92,100,8.6,6383,From Software,M
Borderlands: The Handsome Collection,PS4,2015,Shooter,Take-Two Interactive,0.38,0.33,0.03,0.14,0.88,82,49,7.8,345,Gearbox Software,M
Borderlands: The Handsome Collection,XOne,2015,Shooter,Take-Two Interactive,0.26,0.13,0,0.04,0.43,80,11,7.8,119,Gearbox Software,M
Bound By Flame,PS4,2014,Role-Playing,Focus Home Interactive,0.08,0.09,0,0.03,0.19,53,40,5.9,230,Spiders,M
Broken Sword 5: The Serpent's Curse,PS4,2015,Adventure,Revolution Software,0,0.06,0,0.01,0.07,72,14,7.2,23,Revolution Software,T
Broken Sword 5: The Serpent's Curse,XOne,2015,Adventure,Revolution Software,0,0.02,0,0,0.02,77,12,7.2,11,Revolution Software,T
Brothers: A Tale of Two Sons,PS4,2015,Adventure,505 Games,0.03,0.08,0,0.02,0.14,81,10,8.6,73,Starbreeze,T
Brothers: A Tale of Two Sons,XOne,2015,Adventure,505 Games,0.03,0.01,0,0,0.04,81,6,8.9,26,Starbreeze,T
Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,2.81,3.48,0.14,1.23,7.66,83,39,5.7,1443,Sledgehammer Games,M
Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,3.22,1.55,0.01,0.48,5.27,81,53,5.4,898,Sledgehammer Games,M
Call of Duty: Ghosts,PS4,2013,Shooter,Activision,1.78,1.43,0.05,0.57,3.83,78,49,3.7,1564,Infinity Ward,M
Call of Duty: Ghosts,XOne,2013,Shooter,Activision,1.88,0.77,0,0.27,2.92,78,7,4.3,700,Infinity Ward,M
Call of Duty: Infinite Warfare,PS4,2016,Shooter,Activision,1.61,2,0.15,0.71,4.46,77,82,3.4,1129,Infinity Ward,M
Call of Duty: Infinite Warfare,XOne,2016,Shooter,Activision,1.46,0.74,0,0.22,2.42,78,17,3.1,290,Infinity Ward,M
Carmageddon: Max Damage,XOne,2016,Action,Stainless Games,0.01,0.01,0,0,0.02,52,15,7.1,12,Stainless Games,M
Carmageddon: Max Damage,PS4,2016,Action,Stainless Games,0.01,0,0,0,0.01,51,28,5.5,39,Stainless Games,M
Child of Light,PS4,2014,Role-Playing,Ubisoft,0,0.01,0.04,0,0.05,82,46,8,451,Ubisoft Montreal,E10+
Dance Central: Spotlight,XOne,2014,Misc,Microsoft Game Studios,0.15,0.03,0,0,0.19,74,19,7,47,Harmonix Music Systems,T
Dark Souls III,PS4,2016,Role-Playing,Namco Bandai Games,0.65,0.45,0.34,0.22,1.65,89,69,8.8,1940,From Software,M
Darksiders: Warmastered Edition,PS4,2016,Action,Nordic Games,0.02,0,0,0,0.02,79,9,8.5,15,Nordic Games Publishing,M
Darksiders: Warmastered Edition,XOne,2016,Action,Nordic Games,0.01,0,0,0,0.01,80,13,7.9,14,Nordic Games Publishing,M
Dead Island Definitive Collection,PS4,2016,Action,Deep Silver,0.03,0.07,0.01,0.02,0.14,63,32,6.4,45,Techland,M
Dead Island Definitive Collection,XOne,2016,Action,Deep Silver,0.02,0.03,0,0,0.05,67,10,4.9,18,Techland,M
Dead Rising,PS4,2016,Action,Capcom,0.02,0,0.01,0.01,0.04,78,6,6.6,30,Capcom,M
Dead Rising 2,PS4,2016,Action,Capcom,0.01,0,0.01,0,0.03,82,4,6.6,8,Blue Castle Games,M
Dead Rising 3,XOne,2013,Action,Microsoft Game Studios,1.06,0.35,0.01,0.15,1.57,78,69,6.8,908,Capcom Vancouver,M
Deadpool,PS4,2015,Action,Activision,0.14,0.11,0,0.05,0.29,60,11,5.7,68,High Moon Studios,M
Destiny,PS4,2014,Shooter,Activision,2.49,2.07,0.16,0.92,5.64,76,95,6.1,5380,"Bungie Software, Bungie",T
Destiny,XOne,2014,Shooter,Activision,2.14,0.92,0,0.31,3.37,75,11,5.5,1735,"Bungie Software, Bungie",T
Destiny: The Taken King,PS4,2015,Shooter,Activision,0.78,0.79,0.04,0.31,1.93,86,81,6,1079,Bungie,T
Destiny: The Taken King,XOne,2015,Shooter,Activision,0.85,0.23,0,0.12,1.19,89,11,5.2,393,"Bungie Software, Bungie",T
Deus Ex: Mankind Divided,PS4,2016,Role-Playing,Square Enix,0.11,0.21,0,0.06,0.38,84,59,7.6,511,Eidos Montreal,M
Deus Ex: Mankind Divided,XOne,2016,Role-Playing,Square Enix,0.09,0.06,0,0.01,0.17,83,18,7.2,175,Eidos Montreal,M
Digimon Story: Cyber Sleuth,PS4,2016,Role-Playing,Namco Bandai Games,0,0.1,0,0.02,0.11,75,45,8.5,289,Media Vision,T
DiRT Rally,PS4,2016,Racing,Codemasters,0.04,0.27,0,0.05,0.37,85,46,8.1,196,Codemasters,E
DiRT Rally,XOne,2016,Racing,Codemasters,0.04,0.08,0,0.01,0.12,86,17,8,60,Codemasters,E
Disgaea 5: Alliance of Vengeance,PS4,2015,Role-Playing,Nippon Ichi Software,0.11,0.08,0.06,0.04,0.29,80,43,8.1,173,Nippon Ichi Software,T
Dishonored 2,PS4,2016,Action,Bethesda Softworks,0.22,0.32,0,0.1,0.64,88,56,7.7,569,Arkane Studios,M
Dishonored 2,XOne,2016,Action,Bethesda Softworks,0.12,0.08,0,0.02,0.22,88,22,6.8,156,Arkane Studios,M
Don Bradman Cricket 14,PS4,2015,Sports,Tru Blu Entertainment,0.01,0.09,0,0.02,0.12,76,4,7.4,19,Big Ant Studios,E
Dragon Age: Inquisition,PS4,2014,Role-Playing,Electronic Arts,0.73,0.88,0.08,0.32,2.01,89,43,7.4,1984,BioWare,M
Dragon Age: Inquisition,XOne,2014,Role-Playing,Electronic Arts,0.56,0.28,0,0.09,0.93,85,28,6.9,703,BioWare,M
Dragon Ball: XenoVerse,PS4,2015,Fighting,Namco Bandai Games,0.3,0.52,0.12,0.16,1.11,69,50,7.7,598,Dimps Corporation,T
Dragon Ball: XenoVerse,XOne,2015,Fighting,Namco Bandai Games,0.18,0.11,0,0.03,0.32,67,18,7.2,128,Dimps Corporation,T
Dragon Ball: Xenoverse 2,PS4,2016,Action,Namco Bandai Games,0.24,0.27,0.09,0.1,0.71,73,54,7.8,117,Dimps Corporation,T
Dragon Ball: Xenoverse 2,XOne,2016,Action,Namco Bandai Games,0.11,0.07,0,0.02,0.2,73,8,7.3,29,Dimps Corporation,T
DriveClub,PS4,2014,Racing,Sony Computer Entertainment,0.36,1.38,0.02,0.31,2.07,71,85,6.1,1571,Evolution Studios,E
DriveClub VR,PS4,2016,Racing,Sony Computer Entertainment,0.03,0.05,0,0.01,0.09,67,34,7.4,110,Evolution Studios,E
Duke Nukem 3D: 20th Anniversary World Tour,PS4,2016,Shooter,Gearbox Software,0.03,0,0,0.01,0.03,77,15,6.9,15,Gearbox Software,M
Dungeons 2,PS4,2016,Role-Playing,Kalypso Media,0.01,0,0,0,0.01,61,9,7.9,14,Kalypso,T
Dying Light,PS4,2015,Action,Warner Bros. Interactive Entertainment,0.96,0.67,0.12,0.34,2.09,74,58,7.9,1287,Techland,M
Dying Light,XOne,2015,Action,Warner Bros. Interactive Entertainment,0.86,0.3,0.01,0.12,1.29,74,26,7.8,387,Techland,M
Dynasty Warriors 8: Empires,PS4,2014,Action,Tecmo Koei,0.06,0.07,0.03,0.03,0.19,63,30,7.5,42,Omega Force,T
Dynasty Warriors 8: Empires,XOne,2014,Action,Tecmo Koei,0.04,0.02,0,0.01,0.07,58,10,6.8,15,Koei Tecmo Games,T
EA Sports UFC,PS4,2014,Sports,Electronic Arts,0.46,0.41,0.01,0.17,1.05,70,57,6.1,279,EA Sports,T
EA Sports UFC,XOne,2014,Sports,Electronic Arts,0.3,0.12,0,0.04,0.47,70,23,6.3,152,EA Sports,T
EA Sports UFC 2,PS4,2016,Sports,Electronic Arts,0.29,0.49,0,0.15,0.93,79,38,6.2,157,EA Sports,T
EA Sports UFC 2,XOne,2016,Sports,Electronic Arts,0.24,0.14,0,0.04,0.41,76,42,6,77,EA Sports,T
Eagle Flight,PS4,2016,Adventure,Ubisoft,0.01,0.05,0,0.01,0.07,72,31,7.8,22,"Ubisoft, FunHouse",E10+
Earth Defense Force 4.1: The Shadow of New Despair,PS4,2015,Shooter,Xseed Games,0.03,0.02,0,0.01,0.06,64,40,7.9,51,Sandlot,M
EVE: Valkyrie,PS4,2016,Shooter,CCP,0.03,0.05,0,0.02,0.1,73,26,6.3,37,CCP,T
Evolve,PS4,2015,Shooter,Take-Two Interactive,0.36,0.41,0.05,0.15,0.96,76,46,4.3,894,Turtle Rock Studios,M
Evolve,XOne,2015,Shooter,Take-Two Interactive,0.37,0.2,0,0.06,0.64,74,31,5.1,336,Turtle Rock Studios,M
Exist Archive: The Other Side of the Sky,PS4,2015,Role-Playing,Aksys Games,0.01,0,0.03,0,0.04,69,13,7.9,16,Tri-Ace,T
F1 2015,PS4,2015,Racing,Codemasters,0.09,0.45,0.03,0.1,0.66,65,46,6.3,43,Codemasters,E
F1 2015,XOne,2015,Racing,Codemasters,0.08,0.15,0,0.02,0.25,64,13,5.3,22,Codemasters,E
Fairy Fencer F: Advent Dark Force,PS4,2015,Role-Playing,Idea Factory International,0.02,0,0.05,0,0.07,71,21,6.2,34,Compile Heart,T
Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,2.53,3.27,0.24,1.13,7.16,87,58,6.5,4228,Bethesda Game Studios,M
Fallout 4,XOne,2015,Role-Playing,Bethesda Softworks,2.51,1.32,0.01,0.38,4.22,88,39,6.2,1749,Bethesda Game Studios,M
Fantasia: Music Evolved,XOne,2014,Misc,Disney Interactive Studios,0.11,0.03,0,0.01,0.15,77,48,7.5,67,Harmonix Music Systems,E10+
Far Cry 4,PS4,2014,Shooter,Ubisoft,1.13,2.18,0.1,0.63,4.04,85,83,7.7,1653,Ubisoft Montreal,M
Far Cry 4,XOne,2014,Shooter,Ubisoft,0.8,0.69,0.01,0.14,1.63,82,15,7.5,383,Ubisoft Montreal,M
Far Cry: Primal,PS4,2016,Action,Ubisoft,0.6,1.25,0.06,0.35,2.26,76,91,6.3,635,Ubisoft Montreal,M
Far Cry: Primal,XOne,2016,Action,Ubisoft,0.47,0.33,0,0.08,0.88,77,27,6.4,194,Ubisoft Montreal,M
Farming Simulator 17,PS4,2016,Simulation,Focus Home Interactive,0.05,0.31,0,0.06,0.41,69,17,8.7,12,Maximum Games,E
FIFA 14,PS4,2013,Sports,Electronic Arts,0.61,1.85,0.11,0.44,3.01,87,26,6.3,616,EA Canada,E
FIFA 14,XOne,2013,Sports,Electronic Arts,0.41,0.66,0,0.09,1.16,88,22,5.8,328,EA Canada,E
FIFA 15,PS4,2014,Sports,Electronic Arts,0.8,4.33,0.05,0.9,6.08,82,47,5.7,988,EA Sports,E
FIFA 15,XOne,2014,Sports,Electronic Arts,0.6,1.42,0,0.16,2.18,82,33,5.4,347,EA Sports,E
FIFA 16,PS4,2015,Sports,Electronic Arts,1.12,6.12,0.06,1.28,8.57,82,42,4.3,896,EA Sports,E
FIFA 16,XOne,2015,Sports,Electronic Arts,0.89,2.12,0,0.24,3.25,84,45,4.4,459,EA Sports,E
FIFA 17,PS4,2016,Sports,Electronic Arts,0.66,5.75,0.08,1.11,7.59,85,41,5,398,"EA Sports, EA Vancouver",E
FIFA 17,XOne,2016,Sports,Electronic Arts,0.43,2.05,0,0.17,2.65,84,50,5.5,201,"EA Sports, EA Vancouver",E
Fighter Within,XOne,2013,Fighting,Ubisoft,0.11,0.07,0,0.02,0.19,23,39,3,211,Ubisoft,T
Final Fantasy XIV: Heavensward,PS4,2015,Action,Square Enix,0,0.06,0.06,0.01,0.13,86,20,7.6,225,Square Enix,T
Forza Horizon 2,XOne,2014,Racing,Microsoft Game Studios,0.5,0.78,0.01,0.11,1.4,86,85,8.2,977,Playground Games,E10+
Forza Horizon 3,XOne,2016,Racing,Microsoft Game Studios,0.42,0.58,0,0.08,1.08,91,90,7.4,594,Playground Games,E
Forza Motorsport 5,XOne,2013,Racing,Microsoft Game Studios,1.21,0.79,0.01,0.19,2.2,79,76,5.9,1095,Turn 10,E
Forza Motorsport 6,XOne,2015,Racing,Microsoft Game Studios,0.73,0.9,0.03,0.14,1.8,87,85,7.9,863,Turn 10,E
Gears of War 4,XOne,2016,Shooter,Microsoft Game Studios,0.78,0.44,0,0.12,1.35,84,96,6.2,815,The Coalition,M
Gears of War: Ultimate Edition,XOne,2015,Shooter,Microsoft Game Studios,2.61,0.33,0,0.34,3.28,82,74,7.5,563,"Splash Damage, The Coalition",M
Goat Simulator,XOne,2016,Simulation,Koch Media,0,0.01,0,0,0.01,53,15,6.3,63,Coffee Stain Studios,T
